Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
14543;ROTS;14740;49.2061, -0.474726;2473
14543;ROTS;14980;49.2061, -0.474726;2473
14566;ST CONTEST;14280;49.2155, -0.400916;2546
14568;STE CROIX GRAND TONNE;14740;49.2337, -0.556033;0
14572;ST DENIS DE MERE;14110;48.8648, -0.503133;854
14587;ST GERMAIN LA BLANCHE HERBE;14280;49.1956, -0.421596;2403
14592;STE HONORINE DU FAY;14210;49.0701, -0.491096;1348
14595;ST JEAN DE LIVET;14100;49.0934, 0.242348;200
14610;ST MANVIEU NORREY;14740;49.1866, -0.500649;2022
14611;ST MANVIEU BOCAGE;14380;48.8217, -0.964919;0
14614;STE MARGUERITE D ELLE;14330;49.2157, -0.986868;781
14651;ST PIERRE DU JONQUET;14670;49.1658, -0.139476;227
14661;ST VAAST SUR SEULLES;14250;49.1362, -0.630172;141
14672;SEPT VENTS;14240;49.0663, -0.83777;850
14682;SURVILLE;14130;49.3029, 0.223364;455
14687;LE THEIL EN AUGE;14130;49.3468, 0.250984;188
14689;LE HOM;14220;48.9865, -0.485109;3743
14692;TILLY SUR SEULLES;14250;49.1719, -0.623418;1695
14695;TORTEVAL QUESNAY;14240;49.1498, -0.730039;0
14697;L OUDON;14170;48.9626, 0.032943;0
14697;L OUDON;14170;48.9626, 0.032943;0
14697;L OUDON;14170;48.9626, 0.032943;0
14703;TOURNEBU;14220;48.9633, -0.3263;364
14720;USSY;14420;48.9461, -0.290006;904
14721;VACOGNES NEUILLY;14210;49.0854, -0.534238;593
14726;VALDALLIERE;14350;48.8636, -0.658303;6163
14726;VALDALLIERE;14410;48.8636, -0.658303;6163
14726;VALDALLIERE;14410;48.8636, -0.658303;6163
14738;VERSON;14790;49.1638, -0.463309;3552
14740;LA VESPIERE FRIARDEL;14290;49.0112, 0.42475;1239
14757;VILLIERS LE SEC;14480;49.2929, -0.565611;0
14759;VILLY LEZ FALAISE;14700;48.9003, -0.136145;285
14760;VILLY BOCAGE;14310;49.1039, -0.641976;817
14761;VIMONT;14370;49.1416, -0.194707;736
14762;VIRE NORMANDIE;14500;48.8512, -0.889602;18543
14762;VIRE NORMANDIE;14500;48.8512, -0.889602;18543
14764;PONT D OUILLY;14690;48.8769, -0.409034;1052
15002;ALLEUZE;15100;44.9603, 3.09832;216
15008;ANTIGNAC;15240;45.3513, 2.56147;288
15009;APCHON;15400;45.2449, 2.69777;195
15011;ARNAC;15150;45.0633, 2.22627;156
15013;AURIAC L EGLISE;15500;45.2642, 3.12606;169
15028;CARLAT;15130;44.8833, 2.57177;362
15032;CELOUX;15500;45.1381, 3.26076;70
15036;CHALVIGNAC;15200;45.2476, 2.26459;456
15044;CHASTEL SUR MURAT;15300;45.1361, 2.84458;0
15048;CHAZELLES;15500;45.1058, 3.32678;39
15050;LE CLAUX;15400;45.1501, 2.69959;196
15054;CONDAT;15190;45.3488, 2.79188;1049
15057;CROS DE MONTVERT;15150;45.059, 2.15897;204
15064;ESCORAILLES;15700;45.1691, 2.33216;79
15067;LE FAU;15140;45.1089, 2.60021;32
15070;FONTANGES;15140;45.1091, 2.51732;209
15078;JABRUN;15110;44.7939, 2.96317;164
15079;JALEYRAC;15200;45.2697, 2.36782;379
15080;JOURSAC;15170;45.165, 3.01361;153
42113;JAS;42110;45.7433, 4.3193;235
42121;LERIGNEUX;42600;45.5945, 3.9468;149
42128;MACHEZAL;42114;45.9259, 4.31534;401
42131;MAIZILLY;42750;46.1759, 4.24319;338
42132;MALLEVAL;42520;45.3855, 4.72587;594
42143;MIZERIEUX;42110;45.7907, 4.16562;437
42147;MONTBRISON;42600;45.6008, 4.0714;16231
42148;MONTCHAL;42360;45.8241, 4.32824;511
42152;NANDAX;42720;46.0988, 4.16998;787
42161;NOTRE DAME DE BOISSET;42120;45.9893, 4.13471;581
42162;OUCHES;42155;46.0133, 3.99592;1185
42164;PALOGNEUX;42990;45.7431, 3.9257;79
42167;PAVEZIN;42410;45.465, 4.66055;360
42172;PLANFOY;42660;45.3861, 4.43144;1032
